column 1,column 2,column 3
"Major new features of the 3.12 series, compared to 3.11",And now for something completely different,"<span style=""font-size: medium;"">Major new features of the 3.12 series, compared to 3.11</span>"
More resources,"<span style=""font-size: medium;"">More resources</span>",Enjoy the new releases
<br/>,And now for something completely different,<br/>
,"Major new features of the 3.12 series, compared to 3.11",
Enjoy the new releases,More resources,
"Major new features of the 3.12 series, compared to 3.11",,
More resources,,
<br/>,,
And now for something completely different,,
<br/>,,
Enjoy the new releases,,
